"ID","gameteSizeGene1","fusionTargetGene1","investCompetitionGene1","investParentingGene1","mpTradeoffGene1","prefGene1","traitGene1","learningGene1","gameteSizeGene2","fusionTargetGene2","investCompetitionGene2","investParentingGene2","mpTradeoffGene2","prefGene2","traitGene2","learningGene2","parentHist","meat1Hist","meat2Hist","plant1Hist","plant2Hist","reward","mID","hh","state","hhState","environment"
11,4.36473715742653,2.43703022438873,0.556873068652077,0.825072537218823,0.163048321207436,0.964653444744251,0.616401281861588,1,4.36473715742653,2.43703022438873,0.0813202006078582,0.722115463367409,0.0903694730411658,0.61650431821147,0.759864830022918,1,963,1136,41,310,50,1906,229,11,"successful",1,2
12,4.36473715742653,2.43703022438873,0.611849112754651,0.763491736366484,0,0.623323336003035,0.659780291064616,1,1,7.05834530932461,0.661302113689086,0.489038494700736,0,0.717859999841038,0.541287842840612,1,758,658,50,993,41,2337.91666666667,280,12,"successful",3,2
13,1,7.05834530932461,0.877603179521591,0.558848204131579,0.0511761997336893,0.7720214176478,0.719435263789147,1,1,7.05834530932461,0.805671677642438,0.84087700909756,0.0542499733815282,0.712987443331697,0.696913373733423,1,973,902,50,533,42,2039.16666666667,496,13,"parenting",3,2
14,4.36473715742653,2.43703022438873,0.168872408304429,0.654617771821551,0,0.70404429401512,0.645393113177501,1,1,7.05834530932461,0.64418127897255,0.856587847529044,0.03453840192319,0.704056666462704,0.683421940214717,1,509,919,49,831,192,2096.47222222223,27,14,"unsuccessful",2,2
15,1,7.05834530932461,0.806861549511498,0.567605371749797,0,0.78477934979128,0.745848628701324,1,4.42886595523644,2.46132167936904,0.119256394695715,0.817889448462438,0.00858926624200641,0.381584878081295,0.535908401047454,1,1032,416,51,961,40,1773.11111111111,121,15,"successful",1,2
16,4.36473715742653,2.43703022438873,0.59982796710052,0.667520216676141,0.049935299085535,0.632698834430521,0.649543264867272,1,1,7.05834530932461,0.607169507970662,0.452886197939061,0.0531594943123362,0.579190096768314,0.677011499177753,1,455,1184,65,752,44,1469.41666666667,473,16,"parenting",3,2
17,4.36473715742653,2.43703022438873,0.375675705647948,0.771808544158838,0.0741099767795873,0.716069900857268,0.692288305330365,1,1,7.05834530932461,1,0.76530932308303,0.0928874840438918,0.698247935140734,0.772356211593143,1,974,709,57,713,47,2120.63888888889,282,17,"parenting",1,2
18,4.36473715742653,2.43703022438873,0.283315360705031,0.69889043574391,0,0.648843398625997,0.618879209127136,1,1,7.05834530932461,0.612334079034363,0.627301372336778,0,0.695291503199448,0.685672901175441,1,788,1141,44,467,60,1609.5,345,18,"successful",1,2
19,1,7.05834530932461,0.577572124918176,0.742215229883937,0,0.7126948247553,0.721485743946421,1,4.36473715742653,2.43703022438873,0,0.659625474998331,0.0355973940163002,0.717133420983133,0.565055296614271,1,757,570,60,1052,61,1821.97222222222,462,19,"parenting",3,2
20,1,7.05834530932461,0.686357264048512,0.782533718223294,0.0361623127404196,0.699821186865088,0.557477610967421,1,1,7.05834530932461,1,0.780130662692555,0.100416192840614,0.67888155612418,0.715363748272357,1,504,467,51,1140,338,913.027777777777,483,20,"parenting",2,2
